World Rank,University Name,Country,teaching,international,research,citations,income,total score,number of students,student_staff_ratio,international_students,female_male_ratio,Year,International Student
1,Caltech,United States of America,95.6,64,97.6,99.8,97.8,95.2,"2,243",6.9,27%,33 : 67,2016,605.61
2,University of Oxford,United Kingdom,86.5,94.4,98.9,98.8,73.1,94.2,"19,919",11.6,34%,46:54:00,2016,6772.46
3,Stanford University,United States of America,92.5,76.3,96.2,99.9,63.3,93.9,"15,596",7.8,22%,42:58:00,2016,3431.12
4,University of Cambridge,United Kingdom,88.2,91.5,96.7,97,55,92.8,"18,812",11.8,34%,46:54:00,2016,6396.08
5,MIT,United States of America,89.4,84,88.6,99.7,95.4,92,"11,074",9,33%,37 : 63,2016,3654.42
6,Harvard University,United States of America,83.6,77.2,99,99.8,45.2,91.6,"20,152",8.9,25%,,2016,5038
7,Princeton University,United States of America,85.1,78.5,91.9,99.3,52.1,90.1,"7,929",8.4,27%,45:55:00,2016,2140.83
8,Imperial College London,United Kingdom,83.3,96,88.5,96.7,53.7,89.1,"15,060",11.7,51%,37 : 63,2016,7680.6
9,ETH Zurich ,Switzerland,77,97.9,95,91.1,80,88.3,"18,178",14.7,37%,31 : 69,2016,6725.86
10,University of Chicago,United States of America,85.7,65,88.9,99.2,36.6,87.9,"14,221",6.9,21%,42:58:00,2016,2986.41
