Category,Score,World Rank,University Name
teaching,95.60,1,California Institute of Technology
teaching,86.50,2,University of Oxford
teaching,92.50,3,Stanford University
teaching,88.20,4,University of Cambridge
teaching,89.40,5,Massachusetts Institute of Technology
teaching,83.60,6,Harvard University
teaching,85.10,7,Princeton University
teaching,83.30,8,Imperial College London
teaching,77.00,9,ETH Zurich – Swiss Federal Institute of Technology Zurich
teaching,85.70,10,University of Chicago
teaching,77.60,11,Johns Hopkins University
teaching,86.50,12,Yale University
teaching,80.40,13,"University of California, Berkeley"
teaching,78.10,14,University College London
teaching,85.90,15,Columbia University
teaching,80.80,16,"University of California, Los Angeles"
teaching,82.00,17,University of Pennsylvania
teaching,77.90,18,Cornell University
teaching,75.90,19,University of Toronto
teaching,76.00,20,Duke University
teaching,76.80,21,University of Michigan
teaching,67.40,22,Carnegie Mellon University
teaching,69.80,23,London School of Economics and Political Science
teaching,68.60,24,University of Edinburgh
teaching,69.80,25,Northwestern University
teaching,71.70,26,National University of Singapore
teaching,64.50,27,King’s College London
teaching,60.60,28,Karolinska Institute
teaching,70.50,29,LMU Munich
teaching,74.70,30,New York University
teaching,61.30,31,École Polytechnique Fédérale de Lausanne
teaching,67.10,32,University of Washington
teaching,62.00,33,University of Melbourne
teaching,60.20,34,University of British Columbia
teaching,59.90,35,KU Leuven
teaching,64.50,36,University of Illinois at Urbana-Champaign
teaching,68.80,37,Heidelberg University
teaching,66.10,38,McGill University
teaching,56.90,39,"University of California, San Diego"
teaching,52.60,39,"University of California, Santa Barbara"
teaching,57.80,41,Georgia Institute of Technology
teaching,77.80,42,Peking University
teaching,81.40,43,University of Tokyo
teaching,60.10,44,"University of California, Davis"
teaching,64.60,44,University of Hong Kong
teaching,59.30,46,University of Texas at Austin
teaching,73.30,47,Tsinghua University
teaching,52.60,47,Wageningen University and Research Center
teaching,63.70,49,Humboldt University of Berlin
teaching,65.10,50,University of Wisconsin-Madison
teaching,62.80,51,Brown University
teaching,54.70,52,Australian National University
teaching,61.00,53,Technical University of Munich
teaching,70.60,54,École Normale Supérieure
teaching,48.40,55,Nanyang Technological University
teaching,58.40,56,University of Manchester
teaching,54.30,56,University of Sydney
teaching,52.20,58,University of Amsterdam
teaching,49.40,59,Hong Kong University of Science and Technology
teaching,49.20,60,The University of Queensland
teaching,54.30,60,Washington University in St Louis
teaching,48.10,62,Utrecht University
teaching,58.00,63,University of North Carolina at Chapel Hill
teaching,57.80,64,Boston University
teaching,55.00,65,Delft University of Technology
teaching,53.50,65,University of Minnesota
teaching,50.50,67,Leiden University
teaching,49.30,68,University of Southern California
teaching,47.60,69,University of Bristol
teaching,47.90,70,Durham University
teaching,37.20,71,Erasmus University Rotterdam
teaching,57.90,72,Free University of Berlin
teaching,48.10,73,Monash University
teaching,43.30,74,University of Groningen
teaching,50.40,75,Pennsylvania State University
teaching,41.60,76,University of Glasgow
teaching,48.40,76,University of Helsinki
teaching,47.00,78,University of Tübingen
teaching,50.60,79,University of Pittsburgh
teaching,47.40,80,University of Warwick
teaching,44.10,81,Uppsala University
teaching,49.80,82,University of Copenhagen
teaching,40.70,82,University of New South Wales
teaching,47.40,84,University of Freiburg
teaching,66.50,85,Seoul National University
teaching,49.70,86,University of St Andrews
teaching,47.80,87,Vanderbilt University
teaching,70.60,88,Kyoto University
teaching,37.50,88,Maastricht University
teaching,48.30,90,Emory University
teaching,39.70,90,Lund University
teaching,51.60,90,Ohio State University
teaching,39.40,93,University of Exeter
teaching,45.10,94,University of Bonn
teaching,54.40,94,Georgetown University
teaching,39.80,94,McMaster University
teaching,42.40,97,University of Sheffield
teaching,34.10,98,Queen Mary University of London
teaching,49.30,99,University of Göttingen
teaching,47.30,99,Michigan State University
teaching,39.50,101,University of Basel
teaching,53.50,101,École Polytechnique
teaching,37.90,101,Rice University
teaching,50.70,104,Dartmouth College
teaching,49.50,104,University of Zurich
teaching,36.90,106,Aarhus University
teaching,39.90,106,"University of California, Irvine"
teaching,34.50,106,University of Mannheim
teaching,47.60,108,University of Notre Dame
teaching,33.40,109,University of Western Australia
teaching,49.40,110,RWTH Aachen University
teaching,39.80,110,University of Southampton
teaching,54.20,112,Scuola Normale Superiore di Pisa
teaching,46.30,113,University of Montreal
teaching,52.80,113,Pierre and Marie Curie University
teaching,50.20,113,Purdue University
teaching,49.10,116,Pohang University of Science and Technology
teaching,45.00,117,"University of Maryland, College Park"
teaching,42.10,118,Ghent University
teaching,39.40,119,University of Birmingham
teaching,40.00,120,University of Bern
teaching,34.90,120,University of Cape Town
teaching,51.80,120,University of Florida
teaching,51.70,123,University of Erlangen-Nuremberg
teaching,43.90,123,"Rutgers, the State University of New Jersey"
teaching,40.30,125,University of Münster
