Country,Students,Population,Continent
Argentina,108373,45267449,South America
Australia,3082024,25550683,Oceana
Austria,668005,9015361,Europe
Bangladesh,62716,164972348,Asia
Belarus,29303,9448772,Europe
Belgium,922974,11598451,Europe
Brazil,968676,212821986,South America
Canada,3371575,37799407,North America
Chile,152819,19144605,South America
China,2930332,1440297825,Asia
Colombia,101964,50976248,South America
Cyprus,6880,1208886,Europe
Czech Republic,409073,10712481,Europe
Denmark,585033,5795780,Europe
Egypt,631051,102659126,Africa
Estonia,55137,1326693,Europe
Finland,428705,5542237,Europe
France,1583826,65298930,Europe
Germany,4181907,83830972,Europe
Ghana,37274,31181428,Africa
Greece,260613,10413936,Europe
Hong Kong,522005,7507523,Asia
Hungary,138282,9655983,Europe
Iceland,69800,341628,Europe
India,311412,1382345085,Asia
Indonesia,43565,274021604,Asia
Iran,193864,84176929,Asia
Israel,346679,8678517,Asia
Italy,3930512,60446035,Europe
Japan,1641882,126407422,Asia
Jordan,60263,10220604,Europe
Kenya,72676,53968739,Africa
Latvia,15100,1882408,Europe
Lebanon,7695,6819976,Asia
Lithuania,19019,2715340,Europe
Luxembourg,5144,627704,Europe
Macau,17042,650846,Asia
Malaysia,161827,32436963,Asia
Mexico,289109,129166028,North America
Morocco,112120,36985624,Africa
Netherlands,1314347,17141544,Europe
New Zealand,545446,4829021,Oceana
Nigeria,26247,206984347,Africa
Norway,344328,5428594,Europe
Oman,7089,5128058,Asia
Pakistan,22496,221612785,Asia
Poland,543720,37839255,Europe
Portugal,430413,10191409,Europe
Qatar,9583,2889284,Asia
Ireland,445799,4947267,Europe
Romania,108378,19214608,Europe
Russia,373064,145945524,Europe
Saudi Arabia,195897,34905942,Asia
Serbia,96968,8731081,Europe
Singapore,339720,5858322,Asia
Slovakia,37279,5460109,Europe
Slovenia,63352,2078989,Europe
South Africa,641650,59436725,Africa
South Korea,1037911,51276977,Asia
Spain,1825371,46757980,Europe
Sweden,1010260,10110233,Europe
Switzerland,694070,8665615,Europe
Taiwan,780527,23824369,Asia
Thailand,290897,69830779,Asia
Turkey,968664,84495243,Asia
Uganda,37340,45974931,Africa
Ukraine,37096,43686577,Europe
United Arab Emirates,14447,9910892,Asia
United Kingdom,4926093,67948282,Europe
United States of America,15030134,331341050,North America
